#Aplicación presupuestaria,Programa,Económico,Desc. programa,Descripción,Proyecto,Desc. proyecto,Área gasto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2017.0.0.9292.0.22699,9292,22699,Taller,Despeses diverses,,,ACTUACIONES DE CARÁCTER GENERAL,1.0,153.92,154.92,153.92
2017.1.0.2318.1611.22699,2318,22699,Educador de Carrer,Altres despeses diverses,1611,Conveni Fundació Ebro Foods 2016-2017-Itinerarios inserción socio laboral,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,245.45,245.45,0.0
2017.1.0.4190.0.22699,4190,22699,Vedat de caça,Altres despeses diverses,,,ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,50311.09,50311.09,50124.21
2017.0.0.1331.0.22799,1331,22799,Recollida de vehicles,Treb.real.altres empreses,,,SERVICIOS PÚBLICOS BÁSICOS,24544.0,0.0,24544.0,23935.01
2017.0.0.1610.0.22799,1610,22799,Servei d'Aigua Potable,Otros trabajos realizados por otras empresas y profesionales,,,SERVICIOS PÚBLICOS BÁSICOS,0.0,19965.0,19965.0,19965.0
2017.0.0.1621.0.22799,1621,22799,Recogida de residuos,Treb.real.altres empreses,,,SERVICIOS PÚBLICOS BÁSICOS,342502.02,0.0,342502.02,328040.83
2017.0.0.1630.0.22799,1630,22799,Neteja viaria,Otros trabajos realizados por otras empresas y profesionales,,,SERVICIOS PÚBLICOS BÁSICOS,370663.18,56945.57,427608.75,414852.49
2017.0.0.1700.0.22799,1700,22799,Medi ambient,Altres treballs realitzats per altres empreses i professionals,,,SERVICIOS PÚBLICOS BÁSICOS,0.0,15000.0,15000.0,14999.99
2017.0.0.1721.0.22799,1721,22799,Protecció i millora medi ambient,Treb.real.altres empreses,,,SERVICIOS PÚBLICOS BÁSICOS,5000.0,0.0,5000.0,1694.0
2017.0.0.2311.0.22799,2311,22799,Emergència social,Altres treballs realitzats per altres empreses i professionals,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,8000.0,14967.65,22967.65,16865.2
2017.0.0.2312.0.22799,2312,22799,Assistència domiciliaria,Treb.real.altres empreses,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,18000.0,0.0,18000.0,6761.3
2017.0.0.2411.0.22799,2411,22799,Promoció de l'ocupació,Otros trabajos realizados por otras empresas y profesionales,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,3000.0,0.0,3000.0,0.0
2017.0.0.2411.1716.22799,2411,22799,Promoció de l'ocupació,Altres treballs realitzats per altres empreses i professionals,1716,Anglès. Gestió comercial FME99/2017/4/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,135.0,135.0,135.0
2017.0.0.3111.0.22799,3111,22799,Salut Pública,Treb.real.altres empreses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,52500.0,40649.31,93149.31,54330.42
2017.0.0.3112.0.22799,3112,22799,Desinfeccio i Desratitza.,Treb.real.altres empreses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,24000.0,0.0,24000.0,21995.99
2017.0.0.3261.0.22799,3261,22799,Centre de formació de persones adultes,Treb.real.altres empreses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,12000.0,1340.0,13340.0,10526.8
2017.0.0.3420.0.22799,3420,22799,Piscina d'Estiu,Treb.real.altres empreses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,33076.24,0.0,33076.24,29559.97
2017.0.0.4911.0.22799,4911,22799,Participació i transparència,Treb.real.altres empreses,,,ACTUACIONES DE CARÁCTER ECONÓMICO,3630.0,0.0,3630.0,11972.61
2017.0.0.4920.0.22799,4920,22799,Administració electrònica,Treb.real.altres empreses,,,ACTUACIONES DE CARÁCTER ECONÓMICO,23718.48,3520.3,27238.78,23383.9
2017.0.0.9203.0.22799,9203,22799,Edificis Municipals,Treb.real.altres empreses,,,ACTUACIONES DE CARÁCTER GENERAL,364106.28,12745.5,376851.78,353758.79
2017.0.0.9205.0.22799,9205,22799,Asses. i defensa lletrada,Treb.real.altres empreses,,,ACTUACIONES DE CARÁCTER GENERAL,24843.72,31534.7,56378.42,55895.06
2017.0.0.9310.0.22799,9310,22799,Àrea Econòmica,Otros trabajos realizados por otras empresas y profesionales,,,ACTUACIONES DE CARÁCTER GENERAL,1725.5,362.36,2087.86,2087.86
2017.0.0.9320.0.22799,9320,22799,Recaptació Tributs,Treb.real.altres empreses,,,ACTUACIONES DE CARÁCTER GENERAL,180000.0,207962.51,387962.51,387962.51
2017.1.0.2411.1616.22799,2411,22799,Promoció de l'ocupació,Altres treballs realitzats per altres empreses i professionals,1616,FME99/2016/23/46 ingles gestión comercial,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,6075.0,6075.0,6075.0
2017.0.0.9200.0.23020,9200,23020,Serveis Generals,Dietes del personal no directiu,,,ACTUACIONES DE CARÁCTER GENERAL,500.0,300.0,800.0,999.21
2017.0.0.9200.0.23120,9200,23120,Serveis Generals,Locomoció del personal no directiu,,,ACTUACIONES DE CARÁCTER GENERAL,500.0,890.6,1390.6,969.77
2017.0.0.9120.0.233,9120,233,Òrgans de govern,Assitències,,,ACTUACIONES DE CARÁCTER GENERAL,102842.28,0.0,102842.28,105792.0
2017.0.0.9200.0.233,9200,233,Serveis Generals,Altres indemnitzacions- assistències,,,ACTUACIONES DE CARÁCTER GENERAL,0.0,0.0,0.0,200.0
2017.0.0.0112.0.310,0112,310,Operacions financeres,Interessos prèstecs,,,DEUDA PÚBLICA,323536.1,0.0,323536.1,318459.25
2017.0.0.9340.0.359,9340,359,Entitas financeres,Altres despeses financeres,,,ACTUACIONES DE CARÁCTER GENERAL,500.0,27441.56,27941.56,27538.52
2017.0.0.3265.0.410,3265,410,OOAA Conservatori Música,OOAA Conservatori Música,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,219577.24,6768.66,226345.9,226345.9
2017.0.0.9430.0.463,9430,463,Transf. altres Ent. Local,A Mancomunitats,,,ACTUACIONES DE CARÁCTER GENERAL,24834.7,0.0,24834.7,24680.93
2017.0.0.9420.0.466,9420,466,Transferencias a Entidades Locales territoriales,A altres entitats que agrupen municipis,,,ACTUACIONES DE CARÁCTER GENERAL,6445.75,0.0,6445.75,5802.29
2017.0.0.3370.0.467,3370,467,Ponència de Joventut,A Consorcios,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,2000.0,0.0,2000.0,2000.0
2017.0.0.3422.0.472,3422,472,Piscina coberta,Subvencions per a reducir el preu a pagar pels usuaris,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,126400.0,0.0,126400.0,126400.0
2017.0.0.2311.0.480,2311,480,Emergència social,Ajudes indiv i atenc bene,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,65000.0,0.0,65000.0,53018.56
2017.0.0.3262.0.481,3262,481,Programa suport a l'educació,Premis i Beques,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,2000.0,102000.0,104000.0,86835.08
2017.0.0.3262.1701.481,3262,481,Programa suport a l'educació,Premis i Beques,1701,"Pactiques formatives modalitat Post-Transparencia, participació i bon govern",PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,0.0,6000.0,6000.0,3733.33
2017.0.0.3410.0.481,3410,481,Ponència d'Esports,Premis i Beques,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,5000.0,0.0,5000.0,0.0
2017.0.0.9200.1701.481,9200,481,Serveis Generals,Premis i Beques,1701,"Pactiques formatives modalitat Post-Transparencia, participació i bon govern",ACTUACIONES DE CARÁCTER GENERAL,0.0,6000.0,6000.0,5999.99
2017.0.0.3263.0.482,3263,482,Programa d'inclusió social i educativa,Suport a la compensació social educativa,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,12000.0,16000.0,28000.0,3749.11
2017.0.0.2311.0.483,2311,483,Emergència social,Ajudes per a pobresa energètica,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,17000.0,0.0,17000.0,2889.0
2017.0.0.2311.0.485,2311,485,Emergència social,Ajudes alimentació persones risc d'exclusió social,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,50000.0,0.0,50000.0,47400.0
2017.0.0.2311.0.489,2311,489,Emergència social,Aportacions i subvencions,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,20000.0,2050.89,22050.89,22050.89
2017.0.0.2314.0.489,2314,489,Entitats no lucratives,Aportacions i subvencions,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,5000.0,0.0,5000.0,5000.0
2017.0.0.2315.0.489,2315,489,Departament d'igualtat,Aportacions i subvencions,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2000.0,0.0,2000.0,2000.0
2017.0.0.3200.0.489,3200,489,Ponència d'educació,Aportacions i subvencions,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3200.0,0.0,3200.0,3200.0
2017.0.0.3340.0.489,3340,489,Ponència de Cultura,Aportacions i subvencions,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,39650.0,2077.92,41727.92,39850.0
2017.0.0.3379.0.489,3379,489,Centre Tercera edat,Aportacions i subvencions,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,7000.0,0.0,7000.0,7000.0
2017.0.0.3380.0.489,3380,489,Festes Populars,Aportacions i subvencions,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,13989.0,6190.0,20179.0,18054.0
2017.0.0.3410.0.489,3410,489,Ponència d'Esports,Aportacions i subvencions,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,93500.0,10500.0,104000.0,99414.7
2017.0.0.4910.0.489,4910,489,Mitjans de comunicació,Aportacions i subvencions,,,ACTUACIONES DE CARÁCTER ECONÓMICO,500.0,0.0,500.0,500.0
2017.0.0.9121.0.489,9121,489,Grups Politics,Aportacions i subvencions,,,ACTUACIONES DE CARÁCTER GENERAL,28200.0,3150.0,31350.0,31350.0
2017.1.0.3422.0501.600,3422,600,Piscina coberta,Inversiones en terrenos,0501,Honoraris i urb.Piscina,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,0.0,169172.76,169172.76,0.0
2017.1.0.4190.0.600,4190,600,Vedat de caça,Inversiones en terrenos,,,ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,832.5,832.5,0.0
2017.0.0.4540.0.609,4540,609,Camins rurals,Altres inversions noves en infrastructures i bens destinat al ús general,,,ACTUACIONES DE CARÁCTER ECONÓMICO,19606.28,21172.81,40779.09,22116.17
2017.1.0.1532.005.609,1532,609,Vies públiques,Altres inversions noves en infrastructures i bens destinat al ús general,005,Urbanit. Espioca [pluvial,SERVICIOS PÚBLICOS BÁSICOS,0.0,25519.68,25519.68,0.0
2017.1.0.1532.0238.609,1532,609,Vies públiques,Altres inversions noves en infrastructures i bens destinat al ús general,0238,Molí Magallo,SERVICIOS PÚBLICOS BÁSICOS,0.0,93156.88,93156.88,0.0
2017.1.0.1532.0415.609,1532,609,Vies públiques,Altres inversions noves en infrastructures i bens destinat al ús general,0415,Urbanitzacio Pla Bega,SERVICIOS PÚBLICOS BÁSICOS,0.0,125179.12,125179.12,0.0
2017.1.0.1532.0630.609,1532,609,Vies públiques,Altres inversions noves en infrastructures i bens destinat al ús general,0630,U.E. Maset,SERVICIOS PÚBLICOS BÁSICOS,0.0,2782.36,2782.36,0.0
2017.1.0.2411.1610.609,2411,609,Promoció de l'ocupació,Altres inversions noves en infrastructures i bens destinat al ús general,1610,Tanca protecció [prèstec 2016],ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,3453.7,3453.7,2985.94
2017.1.0.4121.1020.609,4121,609,Millora Medi Natural,Altres inversions noves en infrastructures i bens destinat al ús general,1020,CASA FIGUERO,ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,75788.56,75788.56,16092.17
2017.1.0.4520.0508.609,4520,609,Recursos Hidràulics,Altres inversions noves en infrastructures i bens destinat al ús general,0508,Invers.xarxa aigües pluv.,ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,104705.75,104705.75,0.0
2017.1.0.4540.1022.609,4540,609,Camins rurals,Altres inversions noves en infrastructures i bens destinat al ús general,1022,CAMINS RURALS,ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,3907.62,3907.62,0.0
2017.0.0.1531.1703.619,1531,619,Obres,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1703,Pla de Camins i Vials 2016-2017,SERVICIOS PÚBLICOS BÁSICOS,0.0,61912.97,61912.97,61610.78
2017.0.0.1532.0.619,1532,619,Vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,,,SERVICIOS PÚBLICOS BÁSICOS,0.0,15000.0,15000.0,6086.62
2017.0.0.1532.1708.619,1532,619,Vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1708,Restauració murs tunnel Av. País Valencià [IFS 2017],SERVICIOS PÚBLICOS BÁSICOS,0.0,8400.0,8400.0,0.0
2017.0.0.1640.0.619,1640,619,Cementeri Municipal,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,,,SERVICIOS PÚBLICOS BÁSICOS,0.0,52404.46,52404.46,47494.71
2017.0.0.1710.0.619,1710,619,Parcs i Jardins,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,,,SERVICIOS PÚBLICOS BÁSICOS,0.0,67164.9,67164.9,65045.06
2017.1.0.1531.1532.619,1531,619,Obres,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1532,Conveni Diputació connectivitat Rotondes Accés Polígons des de V-30 a AP-7,SERVICIOS PÚBLICOS BÁSICOS,0.0,22971.21,22971.21,16267.72
2017.1.0.1532.0006.619,1532,619,Vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,0006,Urb. Av. Xuquer [pluvials,SERVICIOS PÚBLICOS BÁSICOS,0.0,24582.75,24582.75,0.0
2017.1.0.1532.1005.619,1532,619,Vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1005,MOBILIARI URBA I SENYALS,SERVICIOS PÚBLICOS BÁSICOS,0.0,1.0,1.0,0.0
2017.1.0.1532.1520.619,1532,619,Vies públiques,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1520,Remodelació plaça del Poble [Diputació IFS 2015],SERVICIOS PÚBLICOS BÁSICOS,0.0,49070.31,49070.31,49070.31
2017.1.0.1650.1506.619,1650,619,Enllumenat Públic,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1506,CONVENI SUBSTITUCIO LLUMS ENLLUMENAT PUBLIC TECNOLOGIA LED,SERVICIOS PÚBLICOS BÁSICOS,0.0,200000.0,200000.0,151079.31
2017.1.0.1710.1518.619,1710,619,Parcs i Jardins,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1518,Remodelació jardins de la Bega [Diputació IFS 2015],SERVICIOS PÚBLICOS BÁSICOS,0.0,104.32,104.32,0.0
2017.1.0.1710.1529.619,1710,619,Parcs i Jardins,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1529,Remodelació Parc de l'Alteró [Diputació IFS 2015],SERVICIOS PÚBLICOS BÁSICOS,0.0,86.92,86.92,0.0
2017.0.0.3421.0.622,3421,622,Poliesportiu Municipal,Inversió nova en edificis i altres construccions,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,6300.0,3501.74,9801.74,9801.73
2017.1.0.3421.0611.622,3421,622,Poliesportiu Municipal,Inversió nova en edificis i altres construccions,0611,Dot. esport. municipals,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,0.0,80591.94,80591.94,39241.44
2017.0.0.1531.0.623,1531,623,Obres,"Inversió nova en maquinaria, instalacions técniques i utillatge",,,SERVICIOS PÚBLICOS BÁSICOS,3000.0,11000.0,14000.0,10921.14
2017.0.0.1531.1703.623,1531,623,Obres,"Inversió nova en maquinaria, instalacions técniques i utillatge",1703,Pla de Camins i Vials 2016-2017,SERVICIOS PÚBLICOS BÁSICOS,0.0,4666.97,4666.97,4666.97
2017.0.0.9203.0.623,9203,623,Edificis Municipals,"Maquinaria, instalaciones técnicas y utillaje",,,ACTUACIONES DE CARÁCTER GENERAL,5904.38,0.0,5904.38,5904.34
2017.1.0.1532.0917.623,1532,623,Vies públiques,"Inversió nova en maquinaria, instalacions técniques i utillatge",0917,ADQUISICIO MATERIAL OBRES,SERVICIOS PÚBLICOS BÁSICOS,0.0,288.92,288.92,0.0
2017.1.0.9202.1604.623,9202,623,Oficines Municipals,"Inversió nova en maquinaria, instalacions técniques i utillatge",1604,Instal.lacions tècniques Ajuntament [prèstec 2016],ACTUACIONES DE CARÁCTER GENERAL,0.0,7050.67,7050.67,790.05
2017.1.0.9203.1608.623,9203,623,Edificis Municipals,"Inversió nova en maquinaria, instalacions técniques i utillatge",1608,Instal.lacions joventut [prèstec 2016],ACTUACIONES DE CARÁCTER GENERAL,0.0,12000.0,12000.0,0.0
2017.1.0.1531.1607.624,1531,624,Obres,Elementos de transporte,1607,Vehicles Oficina Tècnica [prèstec 2016],SERVICIOS PÚBLICOS BÁSICOS,0.0,9204.29,9204.29,467.69
2017.0.0.2316.0.625,2316,625,Centre de dia infància,Inversió nova en mobiliari,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,3000.0,-200.0,2800.0,2709.99
2017.0.0.3340.0.625,3340,625,Ponència de Cultura,Mobiliario,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,300.0,0.0,300.0,0.0
2017.0.0.3371.0.625,3371,625,"Ponència d'infància, adolescència i joventut",Mobiliario,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,4000.0,-4000.0,0.0,0.0
2017.0.0.9202.0.625,9202,625,Oficines Municipals,Mobiliario,,,ACTUACIONES DE CARÁCTER GENERAL,0.0,11021.73,11021.73,11021.73
2017.0.0.1510.0.626,1510,626,Urbanisme,Inv. nova Equips informat,,,SERVICIOS PÚBLICOS BÁSICOS,7358.34,0.0,7358.34,0.0
2017.0.0.2316.0.626,2316,626,Centre de dia infància,Equipos para procesos de información,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2000.0,0.0,2000.0,1981.0
2017.0.0.3261.0.626,3261,626,Centre de formació de persones adultes,Equipos para procesos de información,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3000.0,-3000.0,0.0,0.0
2017.0.0.3322.0.626,3322,626,Arxius,Inversió nova en equips per a procesos d'informació,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,5000.0,-1661.3,3338.7,0.0
2017.0.0.4920.0.626,4920,626,Administració electrònica,Equipos para procesos de información,,,ACTUACIONES DE CARÁCTER ECONÓMICO,80000.0,33458.91,113458.91,42756.19
2017.1.0.4920.1521.626,4920,626,Administració electrònica,Inversió nova en equips per a procesos d'informació,1521,Informática-modernització implantació backoffice [Diputació IFS 2015],ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,1703.6,1703.6,861.12
2017.1.0.4920.1603.626,4920,626,Administració electrònica,Inversió nova en equips per a procesos d'informació,1603,Pla de modernització [prèstec 2016],ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,30250.0,30250.0,30250.0
2017.0.0.1510.0.627,1510,627,Urbanisme,Proyectos complejos,,,SERVICIOS PÚBLICOS BÁSICOS,130080.0,46877.83,176957.83,0.0
2017.0.0.3321.0.627,3321,627,Biblioteques públiques,Proyectos complejos,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,1000.0,997.12,1997.12,1992.97
2017.0.0.4500.0.627,4500,627,"Porjectes, direcció obres i llicències",Projectes complexos,,,ACTUACIONES DE CARÁCTER ECONÓMICO,4000.0,6164.0,10164.0,1936.0
2017.1.0.1510.1620.627,1510,627,Urbanisme,Projectes complexos,1620,Habilitació local Parc de l'Alteró [PPOS 2016],SERVICIOS PÚBLICOS BÁSICOS,0.0,180284.04,180284.04,152413.43
2017.1.0.4500.1021.627,4500,627,"Porjectes, direcció obres i llicències",Projectes complexos,1021,PROJ. DIREC. OBRES I LLIC,ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,1708.67,1708.67,0.0
2017.0.0.3111.0.632,3111,632,Salut Pública,Edificis i altres contruccions. Salut pública,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,0.0,61485.02,61485.02,18058.97
2017.0.0.4100.0.632,4100,632,Consell Local Agrari,Edificis i altres contruccions. Consell local agrari.,,,ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,10584.72,10584.72,8458.84
2017.0.0.9203.0.632,9203,632,Edificis Municipals,Inversió reposició edificios i altres construccions,,,ACTUACIONES DE CARÁCTER GENERAL,11480.52,0.0,11480.52,6696.97
2017.0.0.9330.1503.632,9330,632,Gestión del patrimonio,Inversió reposició edificios i altres construccions,1503,SUBSTITUCIO LED EDIFICIS [PEEITL],ACTUACIONES DE CARÁCTER GENERAL,0.0,99941.5,99941.5,87947.72
2017.0.0.9330.1706.632,9330,632,Gestión del patrimonio,Inversió reposició edificios i altres construccions,1706,Rehabilitació edifici venta de sant roc [IFS 2017],ACTUACIONES DE CARÁCTER GENERAL,0.0,13942.0,13942.0,0.0
2017.0.0.9330.1707.632,9330,632,Gestión del patrimonio,Inversió reposició edificios i altres construccions,1707,Reabilitació 2ª planta edifici Les Monges-Gabinet Psicop.[IFS 2017],ACTUACIONES DE CARÁCTER GENERAL,0.0,10688.19,10688.19,0.0
2017.0.0.9330.1709.632,9330,632,Gestión del patrimonio,Inversió reposició edificios i altres construccions,1709,Reforma edifici central Ajuntament [IFS 2017],ACTUACIONES DE CARÁCTER GENERAL,0.0,74539.54,74539.54,0.0
2017.1.0.1320.1001.632,1320,632,Seguretat i orgre públic,Inversió reposició edificios i altres construccions,1001,REHAB. CASSETES AGROCROS,SERVICIOS PÚBLICOS BÁSICOS,0.0,4008.4,4008.4,0.0
2017.1.0.2411.0623.632,2411,632,Promoció de l'ocupació,Inversió reposició edificios i altres construccions,0623,Escola Taller-centre form,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,470.0,470.0,0.0
2017.1.0.3231.1606.632,3231,632,Centres educatius,Inversió reposició edificios i altres construccions,1606,Adequació col.legi [prèstec 2016],PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,0.0,5513.53,5513.53,4940.43
2017.1.0.9202.1609.632,9202,632,Oficines Municipals,Inversió reposició edificios i altres construccions,1609,Adequació oficines municipals [prèstec 2016],ACTUACIONES DE CARÁCTER GENERAL,0.0,10000.0,10000.0,7238.51
2017.1.0.9330.1517.632,9330,632,Gestión del patrimonio,Edificios y otras construcciones,1517,Habilitació local parc Eres per biblioteca municipal [fase I] [Diputació IFS 2015],ACTUACIONES DE CARÁCTER GENERAL,0.0,36542.15,36542.15,36542.15
2017.1.0.9330.1601.632,9330,632,Gestión del patrimonio,Inversió reposició edificios i altres construccions,1601,REPARACIO OBRES LOCALS CIVICS [EXEC. AVAL ADESVAL],ACTUACIONES DE CARÁCTER GENERAL,0.0,7177.96,7177.96,0.0
2017.1.0.9330.1605.632,9330,632,Gestión del patrimonio,Edificios y otras construcciones,1605,Biblioteca II Fase. [prèstec 2016],ACTUACIONES DE CARÁCTER GENERAL,0.0,224394.47,224394.47,221568.64
2017.0.0.4911.0.641,4911,641,Participació i transparència,Gastos en aplicaciones informáticas,,,ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,1475.0,1475.0,1475.0
2017.0.0.4920.0.641,4920,641,Administració electrònica,Despeses en aplicacions informàtiques,,,ACTUACIONES DE CARÁCTER ECONÓMICO,1075.22,6340.48,7415.7,5087.56
2017.0.0.4920.1710.641,4920,641,Administració electrònica,Despeses en aplicacions informàtiques,1710,Adquisició Programa Presto [IFS 2017],ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,5780.65,5780.65,0.0
2017.0.0.1510.0.681,1510,681,Urbanisme,Terrenos y bienes naturales,,,SERVICIOS PÚBLICOS BÁSICOS,0.0,63722.95,63722.95,63722.95
2017.0.0.3265.0.710,3265,710,OOAA Conservatori Música,A OOAA Conservatori Music,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,3000.0,3122.02,6122.02,6122.02
2017.1.0.1532.0.770,1532,770,Vies públiques,A Empresses Pivades,,,SERVICIOS PÚBLICOS BÁSICOS,0.0,11680.91,11680.91,0.0
2017.0.0.4910.0.780,4910,780,Mitjans de comunicació,A instit. sense fi lucre,,,ACTUACIONES DE CARÁCTER ECONÓMICO,3500.0,1387.87,4887.87,3500.0
2017.1.0.3265.0240.780,3265,780,OOAA Conservatori Música,A instit. sense fi lucre,0240,Remodelación Casa Cultura,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,0.0,6.01,6.01,0.0
2017.1.0.3340.0.780,3340,780,Ponència de Cultura,A instit. sense fi lucre,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,0.0,50.0,50.0,0.0
2017.0.0.0112.0.913,0112,913,Operacions financeres,Amortització de prèstecs a llarg termini d'ents fora del sector públic,,,DEUDA PÚBLICA,860767.83,2285.71,863053.54,859437.39
#,,,,,,,,11968483.31,4470307.01,16438790.32,14094620.31
